label,x,y,z
1,3.250,0.000,45.350
2,2.815,1.625,45.350
3,1.625,2.815,45.350
4,0.000,3.250,45.350
5,-1.625,2.815,45.350
6,-2.815,1.625,45.350
7,-3.250,0.000,45.350
8,-2.815,-1.625,45.350
9,-1.625,-2.815,45.350
10,0.000,-3.250,45.350
11,1.625,-2.815,45.350
12,2.815,-1.625,45.350
13,3.250,0.000,39.800
14,2.815,1.625,39.800
15,1.625,2.815,39.800
16,0.000,3.250,39.800
17,-1.625,2.815,39.800
18,-2.815,1.625,39.800
19,-3.250,0.000,39.800
20,-2.815,-1.625,39.800
21,-1.625,-2.815,39.800
22,0.000,-3.250,39.800
23,1.625,-2.815,39.800
24,2.815,-1.625,39.800
25,3.250,0.000,34.250
26,2.815,1.625,34.250
27,1.625,2.815,34.250
28,0.000,3.250,34.250
29,-1.625,2.815,34.250
30,-2.815,1.625,34.250
31,-3.250,0.000,34.250
32,-2.815,-1.625,34.250
33,-1.625,-2.815,34.250
34,0.000,-3.250,34.250
35,1.625,-2.815,34.250
36,2.815,-1.625,34.250
37,3.250,0.000,28.700
38,2.815,1.625,28.700
39,1.625,2.815,28.700
40,0.000,3.250,28.700
41,-1.625,2.815,28.700
42,-2.815,1.625,28.700
43,-3.250,0.000,28.700
44,-2.815,-1.625,28.700
45,-1.625,-2.815,28.700
46,0.000,-3.250,28.700
47,1.625,-2.815,28.700
48,2.815,-1.625,28.700
49,3.250,0.000,23.150
50,2.815,1.625,23.150
51,1.625,2.815,23.150
52,0.000,3.250,23.150
53,-1.625,2.815,23.150
54,-2.815,1.625,23.150
55,-3.250,0.000,23.150
56,-2.815,-1.625,23.150
57,-1.625,-2.815,23.150
58,0.000,-3.250,23.150
59,1.625,-2.815,23.150
60,2.815,-1.625,23.150
61,3.250,0.000,17.600
62,2.815,1.625,17.600
63,1.625,2.815,17.600
64,0.000,3.250,17.600
65,-1.625,2.815,17.600
66,-2.815,1.625,17.600
67,-3.250,0.000,17.600
68,-2.815,-1.625,17.600
69,-1.625,-2.815,17.600
70,0.000,-3.250,17.600
71,1.625,-2.815,17.600
72,2.815,-1.625,17.600
73,3.250,0.000,12.050
74,2.815,1.625,12.050
75,1.625,2.815,12.050
76,0.000,3.250,12.050
77,-1.625,2.815,12.050
78,-2.815,1.625,12.050
79,-3.250,0.000,12.050
80,-2.815,-1.625,12.050
81,-1.625,-2.815,12.050
82,0.000,-3.250,12.050
83,1.625,-2.815,12.050
84,2.815,-1.625,12.050
85,3.250,0.000,6.500
86,2.815,1.625,6.500
87,1.625,2.815,6.500
88,0.000,3.250,6.500
89,-1.625,2.815,6.500
90,-2.815,1.625,6.500
91,-3.250,0.000,6.500
92,-2.815,-1.625,6.500
93,-1.625,-2.815,6.500
94,0.000,-3.250,6.500
95,1.625,-2.815,6.500
96,2.815,-1.625,6.500
